Account_Balance,Loan_Duration,Credit_History,Loan_Purpose,Loan_Amount,Savings,Years_Employed,Installment_Rate,Gender_and_Status,Other_Debtors_Guarantors,Year_of_Residence,Property,Age,Installment_Plans,Housing,Existing_Credits,Job,Dependents,Telephone,Foreign,Credit_Rating
(A11) ... < 0 DM,6,(A34) critical account/,(A43) radio/television,1169,(A65) unknown/ no savings account,(A75) .. >= 7 years,4,(A93) male : single,(A101) none,4,(A121) real estate,67,(A143) none,(A152) own,2,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A12) 0 <= ... < 200 DM,48,(A32) existing credits paid back duly till now,(A43) radio/television,5951,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,2,(A92) female : divorced/separated/married,(A101) none,2,(A121) real estate,22,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Bad
(A14) no checking account,12,(A34) critical account/,(A46) education,2096,(A61) ... < 100 DM,(A74) 4 <= ... < 7 years,2,(A93) male : single,(A101) none,3,(A121) real estate,49,(A143) none,(A152) own,1,(A172) unskilled - resident,2,(A191) none,(A201) yes,Good
(A11) ... < 0 DM,42,(A32) existing credits paid back duly till now,(A42) furniture/equipment,7882,(A61) ... < 100 DM,(A74) 4 <= ... < 7 years,2,(A93) male : single,(A103) guarantor,4,(A122) if not A121 : building society savings agreement/,45,(A143) none,(A153) for free,1,(A173) skilled employee / official,2,(A191) none,(A201) yes,Good
(A11) ... < 0 DM,24,(A33) delay in paying off in the past,(A40) car (new),4870,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,3,(A93) male : single,(A101) none,4,(A124) unknown / no property,53,(A143) none,(A153) for free,2,(A173) skilled employee / official,2,(A191) none,(A201) yes,Bad
(A14) no checking account,36,(A32) existing credits paid back duly till now,(A46) education,9055,(A65) unknown/ no savings account,(A73) 1 <= ... < 4 years,2,(A93) male : single,(A101) none,4,(A124) unknown / no property,35,(A143) none,(A153) for free,1,(A172) unskilled - resident,2,"(A192) yes, registered under the customers name",(A201) yes,Good
(A14) no checking account,24,(A32) existing credits paid back duly till now,(A42) furniture/equipment,2835,(A63) 500 <= ... < 1000 DM,(A75) .. >= 7 years,3,(A93) male : single,(A101) none,4,(A122) if not A121 : building society savings agreement/,53,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,36,(A32) existing credits paid back duly till now,(A41) car (used),6948,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,2,(A93) male : single,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",35,(A143) none,(A151) rent,1,(A174) management/ self-employed/,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A14) no checking account,12,(A32) existing credits paid back duly till now,(A43) radio/television,3059,(A64) .. >= 1000 DM,(A74) 4 <= ... < 7 years,2,(A91) male : divorced/separated,(A101) none,4,(A121) real estate,61,(A143) none,(A152) own,1,(A172) unskilled - resident,1,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,30,(A34) critical account/,(A40) car (new),5234,(A61) ... < 100 DM,(A71) unemployed,4,(A94) male : married/widowed,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",28,(A143) none,(A152) own,2,(A174) management/ self-employed/,1,(A191) none,(A201) yes,Bad
